,class,label,gloss
0,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_accountant,accountant,An office for an accountant.
1,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_advertising_agency,advertising agency,"A service-based business dedicated to creating, planning, and handling advertising."
2,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_architect,architect,An office for an architect or group of architects.
3,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_association,association,"An office of a non-profit organisation, society, e.g. student, sport, consumer, automobile, bike association, etc."
4,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_charity,charity,An office of a charitable organization
5,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_company,company,An office of a private company
6,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_consulting,consulting,"An office for a consulting firm, providing expert professional advice to other companies or organisations."
7,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_courier,courier,A courier company
8,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_coworking,coworking,An office where people can go to work (might require a fee); not limited to a single employer
9,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_educational_institution,educational institution,An office for an educational institution.
10,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_employment_agency,employment agency,An office for an employment service.
11,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_energy_supplier,energy supplier,An office for a energy supplier.
12,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_engineer,engineer,An office for an engineer or group of engineers.
13,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_estate_agent,estate agent,A place where you can rent or buy a house.
14,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_financial,financial,An office of a company in the financial sector
15,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_financial_advisor,financial advisor,A professional who offers financial planning and sells financial services to clients.
16,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_forestry,forestry,A forestry office
17,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_foundation,foundation,An office of a foundation
18,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_government,government,"An office of a (supra)national, regional or local government agency or department"
19,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_graphic_design,graphic design,An office of a graphic designer
20,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_guide,guide,"An office for tour guides, mountain guides, dive guides, etc."
21,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_harbour_master,harbour master,The Harbour-master's office
22,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_insurance,insurance,An office at which you can take out insurance policies.
23,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_it,it office,An office for an IT specialist.
24,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_lawyer,lawyer,An office for a lawyer.
25,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_logistics,logistics,An office for a forwarder / hauler.
26,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_moving_company,moving company,An office which offers a relocation service.
27,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_newspaper,newspaper,An office of a newspaper
28,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_ngo,ngo,"An office for a non-profit, non-governmental organisation (NGO)."
29,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_notary,notary,An office for a notary public (common law)
30,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_political_party,political party,An office of a political party
31,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_property_management,property management,"Office of a company, which manages a real estate property."
32,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_quango,quango,An office of a quasi-autonomous non-governmental organisation.
33,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_religion,religion,office of a community of faith
34,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_research,research,An office for research and development
35,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_surveyor,surveyor,"An office of a person doing technical surveys, such as land surveys or risk and damage evaluations of properties and equipment."
36,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_tax_advisor,tax advisor,An office for a financial expert specially trained in tax law
37,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_telecommunication,telecommunication,An office for a telecommunication company
38,http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_water_utility,water utility,The office for a water utility company or water board.
39,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_adult_gaming_centre,adult gaming centre,A venue with gambling machines and other pay-to-play games. 
40,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_amusement_arcade,amusement arcade,"A venue with pay-to-play games, such as video games, driving simulators, pinball machines, merchandisers, etc. "
41,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_bandstand,bandstand,An open structure where musical bands can perform concerts.
42,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_beach_resort,beach resort,To mark the boundary of a managed beach.
43,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_bird_hide,bird hide,A place to observe birds.
44,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_bleachers,bleachers,"Raised, tiered rows of benches found at spectator events"
45,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_bowling_alley,bowling alley,A facility that is equipped to play the game of bowling.
46,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_common,common,A common land (deprecated).
47,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_dance,dance,A place to go dancing.
48,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_disc_golf_course,disc golf course,Disc golf course
49,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_dog_park,dog park,"Designated area, with or without a fenced boundary, where dog-owners are permitted to exercise their pets unrestrained."
50,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_escape_game,escape game,"A physical adventure game in which players solve a series of puzzles using clues, hints and strategy to complete the objectives at hand."
51,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_firepit,firepit,"A permanent location or structure to host campfires, bonfires, etc."
52,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_fishing,fishing,A place for fishing.
53,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_fitness_centre,fitness centre,A place with exercise machines and/or fitness/dance classes.
54,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_fitness_station,fitness station,"A place with exercise machines, single or collection of, outdoor."
55,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_garden,garden,Place where flowers and other plants are grown in a decorative and structured manner or for scientific purposes.
56,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_golf_course,golf course,A golf course.
57,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_hackerspace,hackerspace,"A place where people with common interests, often in computers, technology, science, digital art or electronic art, can meet, socialize and/or collaborate."
