key,value,description
office,accountant,An office for an accountant.
office,advertising agency,"A service-based business dedicated to creating, planning, and handling advertising."
office,architect,An office for an architect or group of architects.
office,association,"An office of a non-profit organisation, society, e.g. student, sport, consumer, automobile, bike association, etc."
office,charity,An office of a charitable organization
office,company,An office of a private company
office,consulting,"An office for a consulting firm, providing expert professional advice to other companies or organisations."
office,courier,A courier company
office,coworking,An office where people can go to work (might require a fee); not limited to a single employer
office,educational institution,An office for an educational institution.
office,employment agency,An office for an employment service.
office,energy supplier,An office for a energy supplier.
office,engineer,An office for an engineer or group of engineers.
office,estate agent,A place where you can rent or buy a house.
office,financial,An office of a company in the financial sector
office,financial advisor,A professional who offers financial planning and sells financial services to clients.
office,forestry,A forestry office
office,foundation,An office of a foundation
office,government,"An office of a (supra)national, regional or local government agency or department"
office,graphic design,An office of a graphic designer
office,guide,"An office for tour guides, mountain guides, dive guides, etc."
office,harbour master,The Harbour-master's office
office,insurance,An office at which you can take out insurance policies.
office,it,An office for an IT specialist.
office,lawyer,An office for a lawyer.
office,logistics,An office for a forwarder / hauler.
office,moving company,An office which offers a relocation service.
office,newspaper,An office of a newspaper
office,ngo,"An office for a non-profit, non-governmental organisation (NGO)."
office,notary,An office for a notary public (common law)
office,political party,An office of a political party
office,property management,"Office of a company, which manages a real estate property."
office,quango,An office of a quasi-autonomous non-governmental organisation.
office,religion,office of a community of faith
office,research,An office for research and development
office,surveyor,"An office of a person doing technical surveys, such as land surveys or risk and damage evaluations of properties and equipment."
office,tax advisor,An office for a financial expert specially trained in tax law
office,telecommunication,An office for a telecommunication company
office,visa,An office of an organisation or business which offers visa assistance
office,water utility,The office for a water utility company or water board.
leisure,adult gaming centre,A venue with gambling machines and other pay-to-play games. 
leisure,amusement arcade,"A venue with pay-to-play games, such as video games, driving simulators, pinball machines, merchandisers, etc. "
leisure,bandstand,An open structure where musical bands can perform concerts.
leisure,beach resort,To mark the boundary of a managed beach.
leisure,bird hide,A place to observe birds.
leisure,bleachers,"Raised, tiered rows of benches found at spectator events"
leisure,bowling alley,A facility that is equipped to play the game of bowling.
leisure,common,A common land (deprecated).
leisure,dance,A place to go dancing.
leisure,disc golf course,Disc golf course
leisure,dog park,"Designated area, with or without a fenced boundary, where dog-owners are permitted to exercise their pets unrestrained."
leisure,escape game,"A physical adventure game in which players solve a series of puzzles using clues, hints and strategy to complete the objectives at hand."
leisure,firepit,"A permanent location or structure to host campfires, bonfires, etc."
leisure,fishing,A place for fishing.
leisure,fitness centre,A place with exercise machines and/or fitness/dance classes.
leisure,fitness station,"A place with exercise machines, single or collection of, outdoor."
leisure,garden,Place where flowers and other plants are grown in a decorative and structured manner or for scientific purposes.
leisure,golf course,A golf course.
leisure,hackerspace,"A place where people with common interests, often in computers, technology, science, digital art or electronic art, can meet, socialize and/or collaborate."
leisure,horse riding,"A facility where people practise horse riding, usually in their spare time, e.g. a riding centre."
leisure,ice rink,A place where you can skate or play ice hockey.
leisure,marina,For mooring leisure yachts and motor boats.
leisure,miniature golf,A place or area that you can play miniature golf.
leisure,nature reserve,"Protected area of importance for wildlife, flora, fauna or features of geological or other special interest."
leisure,outdoor seating,Areas for outdoor gastronomy.
leisure,park,"Open, green area for recreation, usually municipal."
leisure,picnic table,A picnic table
leisure,pitch,"A field for playing football, soccer, cricket, baseball, tennis, etc., a riding arena or a skate park. "
leisure,playground,Playground for little children.
leisure,resort,"A place used for relaxation or recreation, attracting visitors for vacations, tourism and/or going swimming in a pool and/or a nearby body of water."
