key,value,description,
tourism,alpine hut,"Alpine hut or a mountain hut is a remote building positioned in the mountains designed to provided lodging accommodation for mountaineers, climbers and hikers. The access is usually restricted to foot, mountain bike or ski. Typically, these are operated by an Alpine Club or a similar organisation.",
tourism,apartment,A holiday or vacation apartment is a furnished apartment or flat with cooking and bathroom facilities that can be rented for holiday vacations. This tag can be applied to a building accommodating one or more holiday flats. ,
tourism,aquarium,"An aquarium, meant as Public aquarium is the aquatic counterpart of a zoo with living aquatic animals for public viewing.",
tourism,artwork,"Artwork is used to tag public pieces of art. Typically, these are outdoors.",
tourism,attraction,Attraction or tourist attraction is a general place of interest for visitors. Typically used for its natural or historical significance. ,
tourism,camp pitch,camp pitch is the free space used to place a tent or or caravan within a camp site or caravan site area.,
tourism,camp site,"Campsite, camp ground or camping pitch is an area where people can temporarily use a shelter, such as a tent, camper van or sometimes a caravan. Typically, the area is spilt into ""pitches"" or ""sites"".",
tourism,caravan site,"Caravan site, caravan park or RV park is an area where people with caravans, motorhomes, recreational vehicles can stay overnight, or longer, in allotted spaces known as ""pitches"" or ""sites"". They usually provide facilities including toilets, waste disposal, water supply, power supply etc.",
tourism,chalet,Chalet is a type of accommodation used in the hospitality industry to describe one or more detached cottages with self-contained cooking facilities and/or bathroom and toilet facilities.,
tourism,gallery,"Art gallery or art museum is an area or typically a building that displays a variety of visual art exhibitions; The most common exhibits being paintings, sculpture or photography.",
tourism,guest house,"Guest houses, similar to a Hostel, provides lodging accommodation without a hotel license that is typically owner-operated. They usually offer a private room served with breakfast, but the staff is not convenient around-the-clock. These range from custom-built guest houses to family-based homes, frequently refer to as a bed and breakfast.",
tourism,hostel,"Hostels provide inexpensive accommodation, typically with them having shared bedrooms, bathrooms, kitchens, and lounges.",
tourism,hotel,"Hotels provide accommodation for guests with usually numbered rooms. Some facilities provided may include a basic bed, storage for clothing and additional guest facilities may include swimming pool, childcare, and conference facilities.",
tourism,information,"Information, visitor center or centre, visitor information center or tourist information center is an information source for tourists, travellers and visitors. ",
