class,label,gloss
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_accountant,accountant office,An office for an accountant.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_accountant,accountant,An office for an accountant.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_advertising_agency,advertising agency,"A service-based business dedicated to creating, planning, and handling advertising."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_advertising_agency,advertising agency office,"A service-based business dedicated to creating, planning, and handling advertising."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_architect,architect,An office for an architect or group of architects.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_architect,architect office,An office for an architect or group of architects.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_association,association,"An office of a non-profit organisation, society, e.g. student, sport, consumer, automobile, bike association, etc."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_association,NGO association,"An office of a non-profit organisation, society, e.g. student, sport, consumer, automobile, bike association, etc."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_association,Non-profit association,"An office of a non-profit organisation, society, e.g. student, sport, consumer, automobile, bike association, etc."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_charity,charity,An office of a charitable organization
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_company,company,An office of a private company
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_consulting,consulting,"An office for a consulting firm, providing expert professional advice to other companies or organisations."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_consulting,consulting office,"An office for a consulting firm, providing expert professional advice to other companies or organisations."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_courier,courier,A courier company
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_courier,courier company,A courier company
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_coworking,coworking,An office where people can go to work (might require a fee); not limited to a single employer
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_coworking,shared workspace,An office where people can go to work (might require a fee); not limited to a single employer
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_educational_institution,educational institution,An office for an educational institution.
